Cricinfo_id,AWARDS,awards_telugu
639148,nan,
214974,nan,
10881,['Awarded the MBE on 29th Dec 2012'],అవార్డెడ్ ది ఎం.బీ.ఇ. ఆన్ 29త్ డిసెంబర్ 2012
10812,['Wisden Cricketer of the Year 1937'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1937
566685,nan,
11718,"['NBC Denis Compton Award 2001, 2002, 2006']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2001, 2002, 2006"
10897,nan,
517542,nan,
10727,nan,
10721,['Wisden Cricketer of the Year 1987'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1987
53744,nan,
11728,"['NBC Denis Compton Award 2003, 2004, 2005, 2006', 'Young Cricketer of the Year 2005', 'Awarded the MBE in June 2011', 'Wisden Cricketer of the Year 2012', 'Knighted in 2018']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2003, 2004, 2005, 2006,, యంగ్ క్రికెటర్ ఆఫ్ ది ఇయర్ 2005,, అవార్డెడ్ ది ఎం.బీ.ఇ. ఇన్ జూన్ 2011,, విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 2012,, కింగ్టెడ్ ఇన్ 2018"
10846,['Wisden Cricketer of the Year 1956'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1956
53691,nan,
417514,nan,
10696,nan,
292304,nan,
10718,nan,
303813,nan,
10839,nan,
10872,nan,
53752,nan,
737833,nan,
10809,nan,
295569,nan,
10723,nan,
998369,nan,
776695,nan,
10824,nan,
10756,nan,
10925,nan,
11743,nan,
11559,nan,
11770,nan,
10870,nan,
11751,nan,
10792,nan,
297498,nan,
53747,nan,
11724,['NBC Denis Compton Award 2002'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2002
10908,nan,
297630,['NBC Denis Compton Award 2011'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2011
910695,nan,
736107,nan,
10772,['Awarded the MBE on 31st December 2005'],అవార్డెడ్ ది ఎం.బీ.ఇ. ఆన్ 31స్ట్ డిసెంబర్ 2005
386774,nan,
631545,nan,
454668,nan,
297441,['NBC Denis Compton Award 2008'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2008
1041211,nan,
10739,nan,
571911,nan,
10633,['Wisden Cricketer of the Year 2001'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 2001
10843,nan,
10793,nan,
10643,nan,
10754,['Wisden Cricketer of the Year 1964'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1964
215501,nan,
567040,nan,
10656,"['NBC Denis Compton Award 1999', 'NBC Denis Compton Award 2000']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 1999,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2000"
10797,nan,
10887,nan,
10795,nan,nan
10799,nan,
10679,nan,
10864,nan,
10669,['Wisden Cricketer of the Year 1910'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1910
11126,nan,
660889,nan,
